session_id,target
1,4.8420298119022994e-08
2,9.703499406928301e-08
3,1.0223313598506618e-05
4,2.3138118792619886e-09
5,3.6824593891775244e-06
6,1.3218061923750372e-06
7,1.3424422070090669e-07
8,2.377200953717896e-13
9,1.8837394336131505e-07
10,7.30186994652344e-06
11,1.8583147880301346e-05
12,3.2589968704169833e-09
13,1.2438456094861796e-06
14,0.00497706728914431
15,9.415832146531939e-08
16,1.809645742814972e-05
17,0.000126508850574516
18,5.673167583468759e-08
19,0.0002646610442661862
20,1.0609133881547371e-08
21,0.00027630523209026835
22,5.966166022631526e-16
23,1.3733634128607726e-06
24,1.6445162583148442e-12
25,9.313726952443078e-09
26,1.554031334493957e-07
27,3.76294721758489e-08
28,2.609608043146291e-08
29,1.4134242498639356e-05
30,0.0006269449132030908
31,0.0004353606422940943
32,0.0028227524685799222
33,9.500888994617219e-07
34,1.2234576567462589e-12
35,3.245586003491941e-05
36,5.118585312181676e-06
37,3.9728248747774787e-10
38,4.384155653807259e-08
39,0.00015076426266824632
40,9.86345048703038e-09
41,0.0006150715978553283
42,5.083523223346597e-11
43,5.389379649525924e-07
44,4.0723987297392514e-08
45,0.47056678243420386
46,2.7453517541074962e-06
47,1.1082123593549847e-05
48,1.0256539711625835e-06
49,6.004139684972138e-07
50,0.0001467173793295895
51,1.3809875791416327e-10
52,6.975110141369403e-07
53,0.00495817776145208
54,1.6956987143880544e-08
55,0.000648260609833132
56,5.11711850859034e-14
57,1.122137615699992e-08
58,1.5061706939697556e-07
59,5.160784634628728e-07
60,2.9312730294096916e-08
61,2.9039939880410965e-05
62,1.161052768903531e-06
63,9.589082887979931e-08
64,0.00011879964897903693
65,9.332084758225189e-07
66,1.6192036571723598e-07
67,0.0004151570470003271
68,0.00020387004262632322
69,0.0002228695695478608
70,7.632149707313033e-08
71,0.006937682400197392
72,6.20867194031823e-08
73,3.4529658657151426e-11
74,1.5293489614125342e-07
75,1.2682910018785134e-07
76,3.4088731818026284e-07
77,5.942672331866821e-06
78,0.001240328429864268
79,1.7868527405483247e-07
80,1.211717736256036e-07
81,2.6598493641640935e-09
82,4.670203023769894e-15
83,4.520503961121278e-07
84,0.613665403115541
85,6.128249142319059e-06
86,4.370518713826904e-07
87,0.00103683038045825
88,6.56273612143296e-07
89,7.015152274627775e-06
90,0.004002214327387458
91,8.989797733573548e-07
92,2.5020223952720126e-09
93,0.0004133786592573067
94,2.0955608717595776e-06
95,1.6352802050834244e-13
96,6.682535505366099e-08
97,0.0010194567110669403
98,2.3156430264990906e-07
99,3.876620298287813e-10
100,5.790325862232688e-05
101,1.0518285163743267e-06
102,4.2575956322188396e-13
103,4.926781378186041e-10
104,3.1964463494773216e-05
105,6.00022241038513e-08
106,8.832436165634203e-07
107,2.4042736177031094e-13
108,5.655349800526371e-06
109,1.7643972303899694e-09
110,3.703264141843595e-10
111,4.202633233472946e-09
112,9.741803697161645e-08
113,4.854648000741868e-06
114,6.491449920164471e-08
115,4.580366660642879e-07
116,1.4402076271188675e-07
117,0.00012707082539819493
118,1.8781816865094114e-07
119,9.58405084260114e-10
120,0.0031445638873544074
121,9.538484960379623e-09
